episode_number,agent_wins,random_wins,draws
10,5605,2765,1630
20,6702,2143,1155
30,6532,2238,1230
40,6512,2325,1163
50,6693,2120,1187
60,6709,2102,1189
70,6621,2132,1247
80,6719,2114,1167
90,6619,2111,1270
100,6658,2145,1197
110,6717,2077,1206
120,6746,2042,1212
130,6872,1916,1212
140,6812,1938,1250
150,6775,1970,1255
160,6739,1955,1306
170,6845,1901,1254
180,6758,1963,1279
190,6779,2046,1175
200,6844,1900,1256
210,6797,1929,1274
220,6896,1855,1249
230,6813,1899,1288
240,6786,1902,1312
250,6810,1888,1302
260,6839,1897,1264
270,6804,1932,1264
280,6693,1988,1319
290,6809,2106,1085
300,6124,2267,1609
310,6074,2415,1511
320,6132,2339,1529
330,6060,2424,1516
340,6180,2256,1564
350,5944,2511,1545
360,5886,2623,1491
370,5960,2552,1488
380,6059,2542,1399
390,6015,2529,1456
400,6036,2522,1442
410,6037,2571,1392
420,6055,2561,1384
430,6137,2565,1298
440,6183,2474,1343
450,6148,2534,1318
460,6114,2532,1354
470,6072,2530,1398
480,6033,2543,1424
490,6211,2455,1334
500,6011,2357,1632
510,5982,2410,1608
520,5954,2324,1722
530,6047,2342,1611
540,6125,2339,1536
550,6058,2313,1629
560,6097,2339,1564
570,6157,2270,1573
580,6045,2379,1576
590,6088,2389,1523
600,5982,2408,1610
610,6045,2439,1516
620,6059,2371,1570
630,6060,2335,1605
640,6139,2358,1503
650,6281,2434,1285
660,6175,2537,1288
670,6279,2471,1250
680,6259,2498,1243
690,6144,2563,1293
700,6076,2615,1309
710,6218,2449,1333
720,6175,2563,1262
730,6163,2625,1212
740,6070,2591,1339
750,6015,2648,1337
760,6108,2607,1285
770,5676,3147,1177
780,5674,3132,1194
790,5709,3093,1198
800,5614,3179,1207
810,5692,3079,1229
820,5657,3086,1257
830,6015,2856,1129
840,6078,2781,1141
850,5849,3148,1003
860,5902,3053,1045
870,5818,3158,1024
880,5804,3163,1033
890,5802,3224,974
900,5818,3171,1011
910,5736,3251,1013
920,5695,3325,980
930,5608,3460,932
940,5665,3359,976
950,5321,3719,960
960,5323,3613,1064
970,5435,3502,1063
980,5444,3489,1067
990,5463,3463,1074
1000,5486,3436,1078
1010,5520,3386,1094
1020,5532,3359,1109
1030,5606,3259,1135
1040,5597,3280,1123
1050,5672,3245,1083
1060,5655,3270,1075
1070,5711,3223,1066
1080,5630,3259,1111
1090,5712,3251,1037
