episode_number,agent_wins,random_wins,draws
10,6327,2850,823
20,6458,2784,758
30,6379,2241,1380
40,7109,1879,1012
50,7168,1818,1014
60,7148,1781,1071
70,7073,1883,1044
80,7142,1862,996
90,7172,1759,1069
100,7099,1870,1031
110,6995,1948,1057
120,7196,1822,982
130,7395,1733,872
140,7370,1771,859
150,7616,1593,791
160,7462,1742,796
170,7399,1746,855
180,7407,1685,908
190,7381,1738,881
200,7592,1637,771
210,7522,1654,824
220,7507,1703,790
230,7569,1689,742
240,7553,1634,813
250,7210,1942,848
260,7226,2011,763
270,7374,1859,767
280,7275,1920,805
290,7304,1946,750
300,7162,2031,807
310,7376,1860,764
320,7415,1849,736
330,7357,1886,757
340,7375,1896,729
350,7252,1983,765
360,6705,2215,1080
370,6646,2272,1082
380,6852,2187,961
390,6826,2156,1018
400,6637,2231,1132
410,6736,2204,1060
420,6830,2188,982
430,6764,2219,1017
440,6672,2291,1037
450,6798,2195,1007
460,6706,2230,1064
470,6809,2137,1054
480,6679,2253,1068
490,6747,2201,1052
500,6687,2290,1023
510,6669,2283,1048
520,6717,2207,1076
530,6656,2284,1060
540,6751,2244,1005
550,6653,2281,1066
560,6638,2321,1041
570,6653,2247,1100
580,6012,2685,1303
590,6154,2574,1272
600,6019,2624,1357
610,5996,2645,1359
620,6119,2567,1314
630,6132,2572,1296
640,6196,2579,1225
650,6065,2648,1287
660,5898,2662,1440
670,5662,2727,1611
680,5643,2796,1561
690,5713,2620,1667
700,5733,2587,1680
710,5587,2747,1666
720,5669,2701,1630
730,5533,2769,1698
740,5380,3042,1578
750,5435,2972,1593
760,5389,3037,1574
770,5355,3071,1574
780,5423,2971,1606
790,5318,3114,1568
800,5245,3240,1515
810,5153,3246,1601
820,5166,3376,1458
830,4958,3506,1536
840,5126,3324,1550
850,5143,3337,1520
860,5072,3278,1650
870,5218,3286,1496
880,5113,3350,1537
890,5188,3259,1553
900,5006,3252,1742
910,5000,3268,1732
920,4996,3389,1615
930,5212,3247,1541
940,5171,3253,1576
950,5180,3187,1633
960,5120,3285,1595
970,5217,3246,1537
980,5136,3232,1632
990,5130,3219,1651
1000,5260,3150,1590
1010,5152,3280,1568
1020,5173,3199,1628
1030,5101,3271,1628
1040,5104,3241,1655
1050,5155,3257,1588
1060,5099,3252,1649
1070,5125,3279,1596
1080,5138,3262,1600
1090,5219,3199,1582
1100,5103,3227,1670
1110,5169,3209,1622
1120,5209,3264,1527
1130,5321,3182,1497
1140,5301,3249,1450
1150,5205,3280,1515
1160,5213,3248,1539
1170,5219,3265,1516
1180,5142,3360,1498
1190,5100,3455,1445
1200,4420,4557,1023
1210,4229,4450,1321
1220,4303,4336,1361
1230,4263,4425,1312
1240,4339,4375,1286
1250,4364,4365,1271
1260,4274,4485,1241
1270,4291,4378,1331
1280,4307,4326,1367
1290,4246,4440,1314
1300,4284,4335,1381
1310,4276,4380,1344
1320,4281,4383,1336
1330,4474,4225,1301
1340,4608,4167,1225
1350,4575,4208,1217
1360,4590,4193,1217
1370,4718,4076,1206
1380,4538,4208,1254
1390,4666,4109,1225
1400,4634,4118,1248
1410,4640,4115,1245
1420,4650,4162,1188
1430,4573,4183,1244
1440,4572,4202,1226
1450,4643,4174,1183
1460,4433,4325,1242
1470,4555,4222,1223
1480,4659,4129,1212
1490,4644,4132,1224
1500,4742,4086,1172
1510,4677,4115,1208
1520,4767,4051,1182
1530,4656,4162,1182
1540,4787,4035,1178
1550,4678,4088,1234
1560,4825,3892,1283
1570,4826,3930,1244
1580,4680,4012,1308
1590,4752,4251,997
1600,4875,4114,1011
1610,4847,4097,1056
1620,4824,4126,1050
1630,4760,4194,1046
1640,4819,4144,1037
1650,4901,4039,1060
1660,4889,4100,1011
1670,4948,3980,1072
1680,4959,4007,1034
1690,4973,3958,1069
1700,5130,3833,1037
1710,4994,3923,1083
1720,5168,3824,1008
1730,5038,3944,1018
1740,5084,3947,969
1750,5147,3871,982
1760,5569,3556,875
1770,5546,3564,890
1780,5568,3527,905
1790,5574,3565,861
1800,5678,3445,877
1810,5556,3516,928
1820,5797,3350,853
1830,5724,3398,878
1840,5729,3384,887
1850,5791,3343,866
1860,5805,3342,853
1870,5786,3337,877
1880,5721,3434,845
1890,5765,3503,732
1900,5806,3513,681
1910,5763,3544,693
1920,5782,3520,698
1930,5882,3482,636
1940,5813,3568,619
1950,5751,3625,624
1960,5889,3462,649
1970,6339,2593,1068
1980,6378,2631,991
1990,6594,2498,908
2000,6579,2525,896
2010,6621,2542,837
2020,6890,2362,748
2030,6985,2314,701
2040,6904,2370,726
2050,7015,2308,677
2060,6913,2380,707
2070,6913,2320,767
2080,7252,2127,621
2090,7326,2084,590
2100,7258,2185,557
2110,7222,2148,630
2120,7267,2155,578
2130,7203,2151,646
2140,7295,2068,637
2150,7258,2081,661
2160,7244,2115,641
2170,7307,1991,702
2180,7471,1893,636
2190,7591,1771,638
2200,7577,1816,607
2210,7564,1870,566
2220,7607,1832,561
2230,7620,1806,574
2240,7853,1603,544
2250,7858,1617,525
2260,7884,1640,476
2270,7801,1704,495
2280,7872,1640,488
2290,7640,1758,602
2300,7627,1783,590
2310,7682,1744,574
2320,7704,1725,571
2330,7781,1703,516
2340,7855,1670,475
2350,7940,1550,510
2360,7879,1632,489
2370,7771,1772,457
2380,7750,1747,503
2390,7564,1922,514
2400,7605,1987,408
2410,6809,2484,707
2420,6802,2454,744
2430,6900,2381,719
2440,6933,2354,713
2450,6884,2363,753
2460,6894,2228,878
2470,6957,2227,816
2480,6791,2309,900
2490,6850,2276,874
2500,6911,2240,849
2510,6854,2276,870
2520,6994,2172,834
2530,6923,2200,877
2540,6903,2245,852
2550,6885,2230,885
2560,6858,2325,817
2570,6745,2468,787
2580,6890,2324,786
2590,6961,2227,812
2600,6835,2312,853
2610,6853,2346,801
2620,6775,2392,833
2630,6804,2346,850
2640,6898,2253,849
2650,6984,2197,819
2660,7024,2190,786
2670,6951,2230,819
2680,6973,2205,822
2690,6951,2172,877
2700,6793,2320,887
2710,6697,2378,925
2720,6269,2674,1057
2730,6280,2859,861
2740,6262,2899,839
2750,6397,2699,904
2760,6440,2665,895
2770,6790,2366,844
2780,6619,2495,886
2790,6748,2512,740
2800,6526,2647,827
2810,6574,2642,784
2820,6440,2728,832
2830,6603,2690,707
2840,6678,2671,651
