episode_number,agent_wins,random_wins,draws
10,7304,1653,1043
20,7031,1816,1153
30,6955,1888,1157
40,6940,1776,1284
50,6954,1780,1266
60,7085,1795,1120
70,7089,1750,1161
80,6990,1806,1204
90,7160,1716,1124
100,7064,1759,1177
110,7016,1772,1212
120,7207,1531,1262
130,6979,1618,1403
140,7008,1582,1410
150,6541,2404,1055
160,6120,2736,1144
170,5129,3591,1280
180,5133,3701,1166
190,5108,3773,1119
200,5586,3180,1234
210,5407,3310,1283
220,5304,3358,1338
230,5392,3253,1355
240,5426,3290,1284
250,5414,3252,1334
260,5050,3808,1142
270,5181,3603,1216
280,5313,3125,1562
290,5939,2711,1350
300,5200,3040,1760
310,5235,2955,1810
320,5274,3063,1663
330,5507,3002,1491
340,4766,3474,1760
350,5315,3183,1502
360,4871,3583,1546
370,5306,3094,1600
380,5355,2921,1724
390,5572,3107,1321
400,5394,3196,1410
410,5595,3021,1384
420,5398,3803,799
430,5404,3482,1114
440,5306,3439,1255
450,5409,3174,1417
460,5436,3079,1485
470,6392,2563,1045
480,5583,3189,1228
490,5581,3289,1130
500,5513,3195,1292
510,5605,3139,1256
520,6196,2636,1168
530,6143,3042,815
540,6134,2961,905
550,6406,2423,1171
560,6442,2353,1205
570,6056,2702,1242
580,6280,2651,1069
590,6372,2705,923
600,6269,2816,915
610,6328,2355,1317
620,6633,2433,934
630,6492,2590,918
640,6151,2726,1123
650,6787,2182,1031
660,6975,2082,943
670,6675,2253,1072
680,6445,2672,883
690,7154,1717,1129
700,6784,1959,1257
710,7202,1421,1377
720,6649,2174,1177
730,7251,1971,778
740,7078,2082,840
750,6752,1903,1345
760,7048,1640,1312
770,7197,1595,1208
780,7391,1358,1251
790,7302,1597,1101
800,7208,1567,1225
810,7386,1416,1198
820,7305,1370,1325
830,7188,1476,1336
840,5953,2491,1556
850,7363,1361,1276
860,6775,1771,1454
870,7416,1438,1146
880,7039,1500,1461
890,7328,1450,1222
900,7513,1322,1165
910,6688,1932,1380
920,7398,1396,1206
930,7413,1375,1212
940,7346,1611,1043
950,7352,1167,1481
960,7385,1412,1203
970,7160,1526,1314
980,7056,1646,1298
990,7039,1500,1461
1000,6952,1617,1431
1010,5973,2460,1567
1020,7086,1606,1308
1030,6984,1500,1516
1040,7389,1388,1223
1050,6890,1716,1394
1060,7086,1663,1251
1070,7247,1421,1332
1080,6467,2263,1270
1090,6539,2134,1327
1100,6449,2162,1389
1110,6357,2139,1504
1120,5900,2439,1661
1130,5885,2611,1504
1140,6651,1922,1427
1150,6384,2257,1359
1160,6664,2089,1247
1170,6588,2098,1314
1180,6576,2103,1321
1190,6582,2162,1256
1200,6727,1946,1327
1210,6834,1712,1454
1220,6760,1899,1341
1230,6502,2158,1340
1240,6671,2002,1327
1250,6488,2215,1297
1260,6673,2128,1199
1270,6614,2085,1301
1280,6613,2100,1287
1290,6764,1872,1364
1300,6601,2140,1259
1310,6576,2157,1267
1320,6689,2092,1219
1330,6660,2067,1273
1340,6804,1910,1286
1350,6744,2044,1212
1360,6625,2117,1258
1370,6743,1988,1269
1380,6765,1962,1273
1390,6795,1946,1259
1400,6788,1912,1300
1410,7139,1655,1206
1420,6810,1708,1482
1430,6249,1978,1773
1440,6349,2150,1501
1450,6161,2441,1398
1460,6488,2223,1289
1470,6526,2251,1223
1480,6977,2064,959
1490,6710,2170,1120
1500,6774,2288,938
1510,6720,2287,993
1520,6710,1938,1352
1530,6630,2047,1323
1540,7150,1937,913
1550,7089,1608,1303
1560,6948,1824,1228
1570,6672,1832,1496
1580,6614,2246,1140
1590,6741,2133,1126
1600,6991,2101,908
1610,6999,1956,1045
1620,7094,2073,833
1630,7077,2177,746
1640,6861,2126,1013
1650,6593,1994,1413
1660,6976,1803,1221
1670,7148,1988,864
1680,6988,2171,841
1690,6939,2256,805
1700,7215,2061,724
1710,7691,1664,645
1720,7443,1832,725
1730,7182,1894,924
1740,7144,1705,1151
1750,7197,1683,1120
1760,6821,1962,1217
1770,7067,1788,1145
1780,6928,1807,1265
1790,6838,1932,1230
1800,7126,1898,976
1810,6967,1987,1046
1820,7009,1830,1161
1830,6743,2069,1188
1840,6575,2365,1060
1850,6913,2100,987
1860,6816,1835,1349
1870,6748,1978,1274
1880,7064,1512,1424
1890,6561,1997,1442
1900,7244,1485,1271
1910,7143,1673,1184
1920,6552,2381,1067
1930,6732,2342,926
1940,6438,2140,1422
1950,7146,1905,949
1960,7113,1876,1011
1970,6998,1901,1101
1980,6873,1748,1379
1990,7136,1871,993
2000,6580,2525,895
2010,6839,2146,1015
2020,6955,2090,955
2030,7155,1883,962
2040,6827,2355,818
2050,7181,2118,701
2060,7115,1961,924
2070,7028,1715,1257
2080,7188,1551,1261
2090,7125,1495,1380
2100,6945,1677,1378
2110,7034,1551,1415
2120,6842,1612,1546
2130,6405,1993,1602
2140,6597,2001,1402
2150,7036,1515,1449
2160,6811,1690,1499
2170,6643,2066,1291
2180,6682,1945,1373
2190,7207,1543,1250
2200,6889,1857,1254
2210,7947,1317,736
2220,6975,1783,1242
2230,6939,1794,1267
2240,7923,1314,763
2250,7769,1326,905
2260,6573,1931,1496
2270,7150,1624,1226
2280,6872,2106,1022
2290,6352,2591,1057
2300,6494,2480,1026
2310,6592,2117,1291
2320,6482,2502,1016
2330,6479,2491,1030
2340,6766,2280,954
2350,6679,2101,1220
2360,6291,2546,1163
2370,7026,2081,893
2380,6951,2142,907
2390,7092,2021,887
2400,6854,2329,817
2410,6798,2352,850
2420,6235,2596,1169
2430,7172,2005,823
2440,7194,1995,811
2450,7021,1910,1069
2460,6636,2039,1325
2470,6902,1798,1300
2480,6759,1939,1302
2490,7507,1487,1006
2500,7205,1616,1179
2510,7278,1619,1103
2520,7250,1569,1181
2530,7346,1811,843
2540,6968,1937,1095
2550,7359,1673,968
2560,6842,2189,969
2570,7154,2021,825
2580,6968,1962,1070
2590,6904,1823,1273
2600,7033,1879,1088
2610,6947,1971,1082
2620,7014,1997,989
2630,7121,1707,1172
2640,7149,1790,1061
2650,7114,1732,1154
2660,7177,1627,1196
2670,7008,2152,840
2680,6796,1929,1275
2690,6782,1889,1329
2700,6840,1881,1279
2710,6820,1908,1272
2720,7056,1741,1203
2730,7475,1499,1026
2740,7051,1813,1136
2750,7105,1798,1097
2760,6954,1890,1156
2770,7004,1951,1045
2780,6945,1993,1062
2790,6971,1850,1179
2800,6999,1913,1088
2810,7076,2162,762
2820,7082,2016,902
2830,6881,2257,862
2840,7361,1780,859
2850,7505,1720,775
2860,7221,1883,896
2870,7419,1855,726
2880,7224,1917,859
2890,7224,1967,809
2900,7341,1850,809
2910,7098,2121,781
2920,7033,1887,1080
2930,6954,2113,933
2940,7159,1944,897
2950,7013,2107,880
2960,7202,1928,870
2970,7294,1898,808
2980,7189,1952,859
2990,6841,2309,850
3000,6859,2289,852
3010,6266,2768,966
3020,6763,2405,832
3030,6411,2739,850
3040,6517,2649,834
3050,7033,2128,839
3060,7074,2105,821
3070,7423,1869,708
3080,6870,2235,895
3090,7034,2235,731
3100,6617,2439,944
3110,7359,1841,800
3120,7312,1998,690
3130,7207,2051,742
3140,7233,1971,796
3150,6718,2378,904
3160,7263,1946,791
3170,7088,2148,764
3180,7074,2066,860
3190,7121,2121,758
3200,7032,2108,860
3210,6741,2503,756
3220,7240,2043,717
3230,6764,2334,902
3240,6965,2173,862
3250,7269,2027,704
3260,7123,1999,878
3270,7144,2006,850
3280,6858,2308,834
3290,7061,2109,830
3300,7226,1912,862
3310,7050,2122,828
3320,6839,2304,857
3330,6932,2194,874
3340,6948,2213,839
3350,6843,2288,869
3360,6978,2173,849
3370,7015,2147,838
3380,6951,2260,789
3390,6855,2342,803
3400,6770,2290,940
3410,7034,2117,849
3420,7112,2065,823
3430,7055,2086,859
3440,7146,1985,869
3450,7228,1904,868
3460,6971,2215,814
3470,7022,2213,765
3480,6946,2168,886
3490,7248,1933,819
3500,6971,2186,843
3510,6880,2243,877
3520,6910,2263,827
3530,6928,2235,837
3540,7020,2108,872
3550,6998,2129,873
3560,7042,2130,828
3570,6989,2134,877
3580,7280,1841,879
3590,7253,1831,916
3600,7368,1784,848
3610,7293,1810,897
3620,7336,1710,954
3630,7241,1794,965
3640,7287,1950,763
3650,7174,1932,894
3660,6952,2223,825
3670,6889,2183,928
3680,7248,1842,910
3690,7644,1494,862
3700,7237,1818,945
3710,7343,1791,866
3720,7452,1823,725
3730,7422,1831,747
3740,7429,1683,888
3750,7425,1701,874
3760,7177,1972,851
3770,7295,1854,851
3780,7585,1620,795
3790,7675,1590,735
3800,7238,1907,855
3810,7578,1632,790
3820,7342,1805,853
3830,7619,1686,695
3840,7611,1618,771
3850,7486,1756,758
3860,7274,1869,857
3870,7144,2155,701
3880,7255,1928,817
3890,7574,1784,642
3900,7318,1920,762
3910,7379,2063,558
3920,7265,2123,612
3930,7688,1679,633
3940,7604,1766,630
3950,7579,1771,650
3960,7537,1767,696
3970,7537,1868,595
3980,7473,1954,573
3990,7491,1942,567
4000,7813,1598,589
4010,7726,1738,536
4020,7640,1714,646
4030,7657,1834,509
4040,7489,2038,473
4050,8214,1125,661
4060,7974,1281,745
4070,8263,1224,513
4080,8492,1057,451
4090,8276,1206,518
4100,8262,1259,479
4110,7753,1788,459
4120,7988,1329,683
4130,7900,1449,651
4140,7950,1407,643
4150,7729,1545,726
4160,7686,1626,688
4170,7619,1540,841
4180,8026,1330,644
4190,7730,1348,922
4200,8062,1337,601
4210,7935,1390,675
4220,7950,1690,360
4230,8075,1345,580
4240,7976,1405,619
4250,8065,1306,629
4260,8044,1426,530
4270,8003,1288,709
4280,7968,1406,626
4290,8060,1231,709
4300,7795,1554,651
4310,7310,1935,755
4320,7438,1904,658
4330,7472,1859,669
4340,7243,1909,848
4350,7591,1784,625
4360,7771,1712,517
4370,7459,1911,630
4380,7261,2124,615
4390,7444,1953,603
4400,7324,2055,621
4410,7893,1608,499
4420,7843,1645,512
4430,7593,1666,741
4440,7861,1569,570
4450,7871,1705,424
4460,7592,1834,574
4470,7376,2036,588
4480,7392,2022,586
4490,7405,2044,551
4500,7587,1864,549
4510,7618,1867,515
4520,7650,1708,642
4530,7526,1908,566
4540,7558,1850,592
4550,7582,1870,548
4560,7957,1573,470
4570,8167,1609,224
4580,8008,1489,503
4590,8012,1454,534
4600,7811,1728,461
4610,7696,1804,500
4620,7548,1938,514
4630,7613,1887,500
4640,8439,1337,224
4650,8461,1280,259
4660,7710,1817,473
4670,7603,1866,531
4680,7821,1756,423
4690,8532,1230,238
4700,8515,1297,188
4710,8525,1245,230
4720,8444,1310,246
4730,8594,1168,238
4740,8541,1223,236
4750,7582,1852,566
4760,7612,1883,505
4770,7542,1935,523
4780,7658,1793,549
4790,8504,1332,164
4800,8506,1247,247
4810,8585,1211,204
4820,8487,1322,191
4830,8667,1158,175
4840,8709,1117,174
4850,8439,1378,183
4860,8547,1268,185
